Fecha;Mes;Año;Ventas;Álava;Albacete;Alicante;Almería;Ávila;Badajoz;Balears;Barcelona;Burgos;Cáceres;Cádiz;Castellón;Ciudad Real;Córdoba;Coruña;Cuenca;Girona;Granada;Guadalajara;Guipúzcoa;Huelva;Huesca;Jaén;León;Lleida;Rioja (La);Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Asturias;Palencia;Pontevedra;Salamanca;Cantabria;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vizcaya;Zamora;Zaragoza;Ceuta;Melilla
01/12/2015;12;2015;197404134;1272125;1761681;8992932;3413651;741695;3188038;5010374;22543871;1644375;2032519;3201634;2453272;2435641;3013522;4972419;1001483;6733086;4211098;1073395;4235011;2277553;1210008;3119833;2141719;2645434;1426694;1425152;26951427;6254542;7116468;3957289;1411810;5012868;761170;3739006;1406066;2758499;639967;6349006;438197;3489344;616996;3128220;11508554;2291426;5077214;799637;4631199;520653;366361
01/01/2016;1;2016;166934868;1228998;1472788;8140888;2899201;565005;2580467;4060198;19650699;1334600;1615830;2631717;2182031;1953623;2474978;4261885;836078;4948759;3641628;894595;3748010;1918081;999096;2525435;1839883;2105206;1190020;1231505;23588524;5285945;6146274;3191105;1194730;4305079;646229;3169093;1165400;2294678;527763;5075188;258354;2880810;526128;2430335;9856033;1840534;4342424;650536;3892411;385912;350179
01/02/2016;2;2016;165798950;1169995;1449422;8095578;2751320;590771;2577801;4491199;19526378;1290068;1592048;2577342;2278802;1943421;2342625;4099302;792843;5486493;3398025;901855;3516220;1921490;1077442;2411677;1804344;2098375;1229826;1168498;23296189;5153021;6031217;3406282;1136273;4330890;689941;3088388;1135899;2274699;508919;4852181;331802;2871211;540253;2448516;9770307;1850557;4254151;633510;3861704;391332;358548
01/03/2016;3;2016;184969493;1151432;1614564;9509576;3308545;700095;2863952;5173527;20521486;1417415;1848284;3106476;2424904;2134332;2842767;4542663;930010;6779813;3997409;978610;3953520;2317269;1124680;2858480;1975515;2340286;1329065;1327556;24377906;6607189;6676723;3901611;1227991;4635691;692827;3366893;1229048;2501579;594196;5910218;352940;3479256;580710;2770002;11046861;2035125;4399889;733947;4000749;456004;319907
01/04/2016;4;2016;186172621;1234438;1605496;9682729;3093580;643560;2726051;6697698;21384785;1470513;1737627;2868026;2366615;2064970;2587912;4403120;864783;7446655;3767096;985626;4232901;2218138;1078304;2634711;1894122;2372294;1320119;1255201;24984209;6297022;6676098;4028698;1200670;4585035;692719;3312627;1238093;2513373;572953;5550668;343842;3358102;579999;2687209;10551385;2000220;4583409;660134;4317755;426194;375137
01/05/2016;5;2016;198059853;1264304;1584616;10557172;3353611;647660;2924164;9856809;21904233;1529295;1845723;3074939;2494324;2132278;2799026;4584966;902624;8167469;4029765;1014591;4505007;2303757;1136476;2707973;2050616;2312697;1365374;1413434;25993245;7144781;6937865;4063480;1278511;4745490;731881;3481599;1342835;2575583;598272;5645612;363734;3920632;563650;2760531;10802520;2062698;4728493;728711;4380976;419455;326396
01/06/2016;6;2016;211953982;1321442;1803823;11436577;3591835;751861;2979832;10992261;23372260;1666458;1954819;3512724;2823151;2371429;2885701;4741005;1052337;8520837;4160962;1133574;4364603;2625439;1226509;2728704;2121594;2374382;1435674;1358164;27670003;7825197;7345394;4265853;1265734;4879381;812686;3593742;1447718;2751193;664110;6033337;429229;4405387;683364;3090754;11966222;2333490;4879124;770683;4716652;469405;347367
01/07/2016;7;2016;214324683;1279106;1783681;11494392;3747693;910183;3045927;10464450;23305899;1691355;2050690;4007564;3132948;2365754;2699587;5221363;1060240;11525270;4166351;1121005;4609637;2769263;1402537;2723805;2418871;2786840;1460879;1563465;24225484;7874644;7359397;4437247;1490500;5332580;811494;4253312;1485430;3084535;721331;5195592;450038;4927059;694629;2991962;11569638;2158785;4508785;844256;4263181;467566;368483
01/08/2016;8;2016;231573252;1172635;1999454;12964005;4220595;1182078;3405637;11205538;21754224;1939008;2496950;4662007;3573654;2673584;2892491;5596031;1392654;15107101;4619410;1304104;5819312;3098243;1738319;3033920;2640272;2729839;1633516;1687005;23024523;8941168;7592512;5405403;1571671;5542888;971694;4497017;1837642;3592003;888349;5255604;548433;6002704;859918;3425443;12003651;2334843;4307800;1050570;4454963;502190;420677
01/09/2016;9;2016;205367341;1292957;1810532;11265047;3547509;757827;2982463;10555512;22732850;1623787;5884203;3312608;2684913;2312315;2797559;4789444;1002510;7925074;4119539;1118965;4293953;2367255;1217207;2717632;2104111;2446117;1433706;1416923;26607723;7547684;6997211;3804957;1361911;4886289;756093;3674998;1399428;2706894;659825;5800725;397622;4216000;672734;3046483;11187776;2228364;4829780;780705;4457383;468012;366226
01/10/2016;10;2016;185535194;1320205;1627958;9883335;3158531;675640;2756540;7049455;21200151;1493359;1769774;2870071;2395721;2117696;2508022;4503302;946873;6233565;3725158;978258;3916764;2100342;1096906;2519441;1966476;2222429;1340788;1279040;25096831;6745219;6500215;3818397;1286517;4608396;724537;3353944;1340439;2521737;604887;5408115;398710;3411678;577614;2644701;10453689;2014554;4518387;729708;4342283;421139;357697
01/11/2016;11;2016;186413992;1459047;1727463;9469649;3214251;668193;2966787;5087786;21678738;1636422;1898897;2903565;2386642;2216504;2696043;4640183;931111;6194159;3798600;983695;4022862;2144995;1039630;2732860;2048231;2240668;1348155;1424935;25100528;6152534;6549761;3730619;1312392;4766204;882917;3499240;1494867;2531071;592933;5603571;410794;3304945;604581;2831863;10705519;2234759;4613510;746542;4396558;443596;344617
01/12/2016;12;2016;196125273;1426393;1737475;8768727;3359070;754884;2905791;4932640;21831281;1899389;1953460;3156694;2592151;2321046;3012227;4992038;1066232;6544914;4245919;1068654;4171963;2254330;1185895;3163126;2257574;2664193;1481003;1569556;26547687;6367853;6861438;4329036;1472843;5036970;898426;3706740;1688855;2759612;656851;5934932;403010;3559884;723784;3144881;11056732;2357389;5033869;823036;4451635;521152;472033
